,City,Latitude,Longitude,Humidity,Cloudiness,Temperature,Country,Wind_Speed,Date
295,Mayumba,-3.43,10.66,93,100,75.87,GA,12.8,1607399892
296,Araci,-11.33,-38.97,91,21,69.71,BR,5.64,1607399655
297,Tazovsky,67.47,78.7,90,27,-9.58,RU,11.74,1607399892
298,Cherskiy,68.75,161.3,88,98,-16.62,RU,4.23,1607399892
299,Defiance,41.33,-84.45,68,1,28.4,US,4.7,1607399892
300,Iowa City,41.66,-91.53,96,90,32.0,US,4.7,1607399851
301,Sochi,43.6,39.73,64,2,44.01,RU,8.95,1607399892
302,Palafrugell,41.92,3.16,87,99,42.01,ES,6.22,1607399892
303,Abbeville,50.1,1.83,60,63,35.01,FR,4.5,1607399892
304,Lumphat,13.49,106.98,52,18,85.24,KH,2.89,1607399892
305,Bonfim,3.08,-59.95,81,82,76.96,BR,1.95,1607399892
306,Conakry,9.54,-13.68,76,2,80.55,GN,2.46,1607399892
307,Gijang,35.24,129.21,36,0,44.6,KR,11.41,1607399892
308,Visby,57.64,18.3,81,62,37.4,SE,13.87,1607399892
309,Sinnamary,5.38,-52.95,86,96,77.68,GF,5.79,1607399329
310,Leningradskiy,69.38,178.42,85,19,7.45,RU,4.74,1607399892
311,Chany,55.31,76.76,97,100,14.41,RU,10.8,1607399893
312,Mandera,3.94,41.87,72,12,77.47,KE,9.04,1607399893
313,Oddur,4.12,43.89,81,98,73.22,SO,14.0,1607399893
314,Kostomuksha,64.57,30.58,95,1,26.1,RU,9.75,1607399893
315,Vavoua,7.38,-6.48,92,0,71.94,CI,4.83,1607399893
316,Juneau,58.3,-134.42,87,90,42.8,US,16.11,1607399893
317,Ayan,56.45,138.17,81,96,6.78,RU,15.01,1607399893
318,Alice,27.75,-98.07,66,1,51.8,US,3.36,1607399893
319,Santa Fe,-31.63,-60.7,72,0,66.99,AR,7.87,1607399893
320,Harper,4.38,-7.72,82,5,77.85,LR,4.03,1607399627
321,Awjilah,29.11,21.29,54,0,47.5,LY,3.78,1607399893
322,Okhotsk,59.38,143.3,88,95,-4.04,RU,16.6,1607399893
323,Usinsk,65.99,57.53,98,92,22.15,RU,4.12,1607399893
324,Banda Aceh,5.56,95.32,73,36,83.39,ID,9.91,1607399893
325,Portland,45.52,-122.68,70,75,45.0,US,16.11,1607399330
326,Kaeo,-35.1,173.78,63,1,74.39,NZ,10.71,1607399893
327,George Town,5.41,100.34,66,20,87.8,MY,6.93,1607399923
328,Nago,26.59,127.98,73,90,73.0,JP,12.75,1607399954
329,Vieste,41.88,16.18,87,40,44.6,IT,6.93,1607399954
330,Bosaso,11.28,49.18,63,24,77.52,SO,7.56,1607399954
331,Agüimes,27.91,-15.45,72,75,64.4,ES,10.29,1607399954
332,Weligama,5.97,80.42,70,3,83.57,LK,4.99,1607399954
333,Ribeira Grande,38.52,-28.7,70,86,59.9,PT,11.5,1607399954
334,Acaraú,-2.89,-40.12,80,52,79.5,BR,15.97,1607399954
335,Tegul'det,57.31,88.17,93,100,8.08,RU,12.93,1607399954
336,Ondo,7.1,4.83,98,13,71.67,NG,0.83,1607399954
337,Opuwo,-18.06,13.84,25,15,65.23,NA,5.61,1607399954
338,Blackwater,-23.58,148.88,25,93,92.95,AU,1.05,1607399954
339,Lata,40.16,-8.33,92,88,50.0,PT,5.01,1607399954
340,Gaozhou,21.94,110.85,47,0,71.2,CN,7.07,1607399954
341,Kaseda-shirakame,31.42,130.32,51,75,59.0,JP,3.36,1607399954
342,Kansk,56.2,95.72,94,98,15.21,RU,16.35,1607399954
343,Grindavik,63.84,-22.43,100,90,35.6,IS,1.12,1607399329
344,Kvitok,56.07,98.48,93,100,17.53,RU,15.86,1607399955
345,Buraidah,26.33,43.98,100,0,48.2,SA,5.57,1607399918
346,Zaysan,47.47,84.87,88,0,9.23,KZ,0.11,1607399955
347,Murgab,37.5,61.97,86,90,28.4,TM,4.7,1607399955
348,Caucaia,-3.74,-38.65,78,75,80.6,BR,18.34,1607399684
349,Fuyu,45.18,124.82,90,0,11.68,CN,10.85,1607399955
350,Port Hardy,50.7,-127.42,93,90,48.2,CA,18.34,1607399955
351,Mason City,43.15,-93.2,92,90,32.0,US,4.7,1607399905
352,Biltine,14.53,20.92,19,5,75.11,TD,15.86,1607399955
353,Lavaca,28.61,-96.63,71,1,53.6,US,4.7,1607399955
354,Richards Bay,-28.78,32.04,79,0,71.82,ZA,11.25,1607399901
355,Waingapu,-9.66,120.26,67,24,87.42,ID,18.28,1607399955
356,Ambilobe,-13.2,49.05,72,75,79.45,MG,3.74,1607399955
357,Bandarbeyla,9.49,50.81,72,38,75.51,SO,17.76,1607399955
358,Dikson,73.51,80.55,92,66,-7.65,RU,2.42,1607399955
359,Lyubech,51.7,30.66,90,0,17.78,UA,13.27,1607399955
360,Rāzole,16.48,81.83,58,3,80.83,IN,7.27,1607399956
361,Lompoc,34.64,-120.46,22,1,66.2,US,11.41,1607399925
362,Bykovo,55.64,38.08,92,0,14.0,RU,4.47,1607399956
363,Coos Bay,43.37,-124.22,100,20,48.99,US,6.93,1607399956
364,Forsytheganj,52.63,29.73,89,0,19.18,BY,12.41,1607399956
365,Mizdah,31.45,12.98,60,0,43.39,LY,10.25,1607399956
366,Szydłowiec,51.23,20.86,70,94,32.0,PL,17.52,1607399956
367,Mitsamiouli,-11.38,43.28,65,78,81.23,KM,2.91,1607399956
368,Ponnāni,10.77,75.93,74,40,80.6,IN,10.11,1607399956
369,Padang,-0.95,100.35,58,68,86.02,ID,4.25,1607399956
370,Tasiilaq,65.61,-37.64,66,0,14.0,GL,3.36,1607399956
371,Kruisfontein,-34.0,24.73,97,6,66.0,ZA,1.99,1607399956
372,Abnūb,27.27,31.15,66,0,53.6,EG,4.7,1607399956
373,Beyneu,45.32,55.2,92,0,12.83,KZ,6.42,1607399956
374,Mölnlycke,57.66,12.12,93,90,42.01,SE,10.29,1607399956
375,Bowen,-20.02,148.23,59,10,89.6,AU,13.87,1607399957
376,Mount Isa,-20.73,139.5,13,94,93.2,AU,10.29,1607399386
377,Rafaela,-31.25,-61.49,50,0,66.99,AR,1.99,1607400017
378,Florianópolis,-27.61,-48.5,94,75,73.99,BR,4.7,1607400017
379,Tautira,-17.73,-149.15,88,75,77.0,PF,3.36,1607399983
380,Kamenka,51.32,42.77,85,0,16.41,RU,6.67,1607400017
381,Kosonsoy,41.26,71.55,92,90,30.2,UZ,2.24,1607400017
382,Petrovsk,52.31,45.39,89,0,16.39,RU,7.74,1607400017
383,Chernyshevskiy,63.01,112.47,91,100,-12.77,RU,4.76,1607400018
384,Mazsalaca,57.86,25.05,68,0,24.01,LV,5.01,1607400018
385,Kieta,-6.22,155.63,70,100,84.02,PG,2.73,1607400019
386,Haverfordwest,51.8,-4.97,93,17,36.0,GB,4.7,1607400019
387,San Jerónimo,-11.95,-75.28,74,100,50.83,PE,2.93,1607400019
388,Gorontalo,0.54,123.06,55,96,90.82,ID,3.71,1607400019
389,Talcahuano,-36.72,-73.12,82,80,55.4,CL,3.36,1607400020
390,Sault Ste. Marie,46.52,-84.33,68,1,26.6,CA,4.7,1607399744
391,Bayanday,53.07,105.51,93,97,15.44,RU,6.31,1607400020
392,Celestún,20.87,-90.4,69,35,71.22,MX,12.88,1607400020
393,Preobrazheniye,42.9,133.91,74,0,25.41,RU,7.99,1607400020
394,Buchanan,5.88,-10.05,84,62,78.13,LR,4.07,1607400020
395,Santa Maria,-29.68,-53.81,88,20,66.2,BR,10.29,1607400021
396,Worland,44.02,-107.96,53,1,27.0,US,4.7,1607400021
397,Yakeshi,49.28,120.73,91,24,2.89,CN,11.21,1607400021
398,La Rioja,42.25,-2.5,65,75,44.6,ES,21.92,1607400021
399,Mackay,-21.15,149.2,74,40,84.2,AU,14.99,1607399781
400,Tanabe,33.73,135.37,44,20,59.0,JP,18.34,1607400021
401,Yermish',54.77,42.27,88,0,19.33,RU,4.47,1607400021
402,Provideniya,64.38,-173.3,72,0,12.2,RU,2.24,1607400021
403,Bilma,18.69,12.92,25,5,67.05,NE,2.75,1607400022
404,Kālīganj,23.41,89.14,47,10,77.45,BD,5.21,1607400022
405,Fort Saint James,54.43,-124.25,94,100,34.99,CA,5.61,1607400022
406,Hamilton,39.18,-84.53,68,90,30.99,US,4.7,1607399988
407,Paamiut,61.99,-49.67,80,0,28.04,GL,8.66,1607400022
408,Khilok,51.37,110.47,82,62,10.18,RU,3.91,1607400022
409,Mago,53.25,140.18,88,91,7.93,RU,9.55,1607400022
410,Fasa,28.94,53.65,86,0,39.2,IR,4.7,1607400022
411,Lewiston,44.1,-70.21,73,90,28.0,US,4.7,1607400020
412,Ferme-Neuve,46.7,-75.45,78,4,15.8,CA,9.17,1607400022
413,Edd,13.93,41.69,74,0,77.92,ER,4.97,1607400022
414,Silifke,36.38,33.93,65,75,59.7,TR,12.01,1607400023
415,Oodweyne,9.41,45.06,68,0,66.69,SO,11.59,1607400023
416,Killybegs,54.63,-8.45,78,57,45.07,IE,15.7,1607400023
417,Yerbogachën,61.28,108.01,94,93,4.73,RU,5.82,1607400023
418,Itamarandiba,-17.86,-42.86,97,12,64.18,BR,1.16,1607400023
419,Dalbandin,28.89,64.41,67,1,59.56,PK,5.68,1607400023
420,Samaná,19.21,-69.34,87,0,73.51,DO,5.48,1607400023
421,Meadow Lake,34.8,-106.54,24,40,44.6,US,4.7,1607400023
422,Souillac,-20.52,57.52,88,40,77.0,MU,6.17,1607400083
423,Carroll,39.55,-77.02,63,1,30.2,US,8.05,1607400084
424,Manali,13.17,80.27,83,40,84.2,IN,10.29,1607400084
425,Tavda,58.04,65.27,98,98,21.88,RU,5.14,1607400084
426,Balkhash,46.84,74.98,70,0,1.4,KZ,11.18,1607400084
427,Radcliff,37.84,-85.95,59,90,35.6,US,4.7,1607399890
428,Ternate,0.8,127.4,68,68,86.7,ID,3.96,1607399834
429,Letterkenny,54.95,-7.73,83,94,42.58,IE,9.53,1607400084
430,Aleksandrov Gay,50.15,48.57,91,12,10.49,RU,8.43,1607400084
431,Gazojak,41.19,61.4,78,0,19.71,TM,6.26,1607400084
432,Miraflores,19.22,-98.81,62,90,59.0,MX,11.41,1607400084
433,Antalaha,-14.9,50.28,71,1,77.92,MG,3.4,1607400085
434,Magadan,59.57,150.8,94,100,11.14,RU,9.89,1607400085
435,Lubango,-14.92,13.49,36,97,59.61,AO,1.88,1607400085
436,Baruun-Urt,46.68,113.28,85,0,1.63,MN,17.49,1607400085
437,Arrondissement de Narbonne,43.08,2.83,85,98,39.0,FR,1.48,1607400085
438,Nayoro,44.35,142.46,74,75,30.2,JP,13.87,1607400085
439,Alyangula,-13.85,136.42,88,75,78.8,AU,8.05,1607400085
440,Vao,-22.67,167.48,86,50,77.9,NC,15.84,1607400085
441,Aswān,24.09,32.91,38,0,62.67,EG,1.16,1607399870
442,Manta,-0.95,-80.73,78,90,75.2,EC,10.29,1607400085
443,Alipur Chatha,32.27,73.82,71,40,57.2,PK,4.7,1607400085
444,Sisimiut,66.94,-53.67,89,71,21.7,GL,14.32,1607400048
445,Muros,42.78,-9.06,92,93,46.0,ES,1.01,1607400085
446,Mishelevka,52.86,103.17,90,91,13.78,RU,1.14,1607400086
447,Porto Seguro,-16.45,-39.06,83,0,73.4,BR,3.36,1607400086
448,Quang Ngai,15.12,108.8,87,99,72.41,VN,12.26,1607400086
449,Chifeng,42.27,118.96,84,0,14.9,CN,6.6,1607400086
450,Coyhaique,-45.58,-72.07,58,0,59.0,CL,2.24,1607400086
451,Siocon,7.71,122.14,66,31,86.86,PH,0.89,1607400086
452,Slave Lake,55.28,-114.77,45,90,44.6,CA,24.16,1607400086
453,Bukene,-4.23,32.88,87,1,65.32,TZ,3.71,1607400086
454,Puente de Ixtla,18.61,-99.32,62,15,68.0,MX,0.96,1607400086
455,Anapskaya,44.89,37.38,79,0,24.8,RU,24.61,1607400086
456,Tambura,5.6,27.47,38,88,76.55,SS,4.03,1607400087
457,Flinders,-34.58,150.86,48,29,72.0,AU,8.01,1607400042
458,Eyl,7.98,49.82,73,7,75.04,SO,14.58,1607399950
459,San Miguel de Tucumán,-26.82,-65.22,83,0,71.6,AR,8.05,1607400017
460,Along,28.17,94.77,45,0,68.74,IN,0.63,1607400087
461,Cidreira,-30.18,-50.21,90,40,68.94,BR,13.13,1607400013
462,Gushikawa,26.35,127.87,73,90,73.0,JP,12.75,1607400087
463,Iquitos,-3.75,-73.25,94,75,75.2,PE,4.7,1607400087
464,Katsuura,35.13,140.3,44,20,62.01,JP,10.29,1607399995
465,Pāsighāt,28.07,95.33,47,0,72.14,IN,2.71,1607400088
466,County Wicklow,53.0,-6.42,100,75,36.0,IE,14.99,1607400088
467,San Vicente,-26.62,-54.13,90,0,60.37,AR,2.93,1607400088
468,Mehamn,71.04,27.85,95,45,28.81,NO,12.41,1607400088
469,Auki,-8.77,160.7,78,98,83.17,SB,2.1,1607399881
470,Lakes Entrance,-37.88,147.98,44,85,69.01,AU,5.99,1607400148
471,Jinka,5.65,36.65,82,2,63.34,ET,2.86,1607400148
472,Susner,23.95,76.08,30,3,74.03,IN,5.5,1607400148
473,Vila Velha,-20.33,-40.29,83,40,77.0,BR,9.17,1607400148
474,Biak,-0.91,122.88,71,98,82.87,ID,1.63,1607399850
475,Santa Vitória,-18.84,-50.12,93,100,71.92,BR,1.19,1607400148
476,Surat,21.17,72.83,53,77,77.0,IN,6.93,1607400001
477,Novobirilyussy,56.95,90.67,93,100,9.63,RU,13.6,1607400149
478,Mont-Dore,-22.28,166.58,93,7,91.99,NC,7.49,1607400149
479,São João da Barra,-21.64,-41.05,87,100,75.13,BR,21.9,1607399986
480,Zhicheng,30.3,111.5,70,4,44.01,CN,1.99,1607400149
481,Mazatlán,23.22,-106.42,56,20,72.0,MX,3.36,1607399989
482,Takhtamygda,54.1,123.57,89,100,3.67,RU,2.24,1607400149
483,Salym,60.06,71.48,98,99,17.78,RU,3.74,1607400149
484,Dakar,14.69,-17.44,61,0,77.0,SN,12.75,1607400059
485,Galle,6.04,80.22,71,2,82.67,LK,3.53,1607400149
486,Mount Gambier,-37.83,140.77,55,90,60.8,AU,17.22,1607399989
487,Ossora,59.24,163.07,82,58,10.24,RU,3.62,1607400149
488,Fare,-16.7,-151.02,75,82,80.69,PF,12.37,1607400149
489,Havøysund,71.0,24.66,80,28,30.2,NO,6.93,1607400149
490,Coquimbo,-29.95,-71.34,87,29,55.4,CL,5.82,1607399918
491,Clyde,41.3,-82.98,68,72,33.01,US,7.61,1607400032
492,Mildura,-34.2,142.15,30,5,72.0,AU,8.05,1607400150
493,Talara,-4.58,-81.27,83,92,68.9,PE,14.41,1607400150
494,Nkowakowa,-23.89,30.29,93,75,59.0,ZA,11.41,1607400150
495,Vuktyl,63.86,57.31,99,100,28.6,RU,7.52,1607400150
496,Turaif,31.67,38.66,100,40,44.6,SA,6.93,1607400150
497,San Joaquin,37.93,-121.3,43,1,59.0,US,8.05,1607400150
498,Inzer,54.22,57.56,96,98,18.73,RU,2.71,1607400150
499,Sørland,67.67,12.69,78,100,40.55,NO,20.6,1607400150
500,Kalangala,-0.31,32.23,80,34,69.87,UG,8.9,1607400150
501,Ballina,-28.87,153.57,53,100,84.2,AU,11.41,1607400150
502,Salta,-24.79,-65.41,77,0,64.4,AR,3.36,1607400150
503,Vila do Maio,15.13,-23.22,73,75,73.4,CV,13.87,1607400150
504,Libreville,0.39,9.45,100,20,73.4,GA,2.24,1607400151
505,Ust'-Omchug,61.15,149.63,85,96,-14.33,RU,4.52,1607400151
506,North Bend,43.41,-124.22,100,20,48.99,US,6.93,1607400151
507,Safi,32.3,-9.24,80,1,59.92,MA,3.83,1607400151
508,Taltal,-25.4,-70.48,75,14,60.85,CL,1.48,1607400151
509,Teya,60.38,92.63,93,100,14.97,RU,10.58,1607400151
510,Port Lincoln,-34.73,135.87,54,21,62.08,AU,10.09,1607400131
511,Lensk,60.73,114.93,93,100,10.2,RU,4.9,1607400151
512,Taoudenni,22.68,-3.98,34,10,57.24,ML,13.4,1607399990
513,Marathon,44.9,-89.77,68,90,30.2,US,5.82,1607400151
514,Valentigney,47.46,6.83,86,40,33.01,FR,4.7,1607400151
515,Pundaguitan,6.37,126.17,72,19,84.15,PH,4.32,1607400151
516,Batemans Bay,-35.72,150.18,36,0,71.01,AU,1.99,1607400095
517,Waipawa,-41.41,175.52,82,100,64.4,NZ,20.8,1607400212
518,Khalkhāl,37.62,48.53,96,88,22.68,IR,4.43,1607400212
519,Camopi,3.17,-52.32,97,24,71.73,GF,1.52,1607400212
520,Eldorado,-23.79,-54.28,74,0,67.84,BR,3.09,1607400212
521,Vanavara,60.34,102.28,94,100,8.17,RU,9.4,1607400212
522,Yumen,40.28,97.2,90,100,23.02,CN,21.65,1607400212
523,Lazarev,52.23,141.51,86,100,11.08,RU,14.58,1607400212
524,Elista,46.31,44.26,84,0,8.6,RU,13.42,1607400212
525,Al Bardīyah,31.76,25.09,69,33,58.26,LY,12.24,1607400212
526,Egvekinot,66.32,-179.17,83,0,6.15,RU,4.23,1607400212
527,Adrar,20.5,-10.07,37,58,56.75,MR,8.14,1607400212
528,Laas,46.62,10.7,1,98,35.01,IT,3.4,1607400212
529,San José del Palmar,4.97,-76.23,100,100,61.79,CO,0.38,1607400213
530,Nuuk,64.18,-51.72,62,2,24.01,GL,13.87,1607400213
531,Shitanjing,39.23,106.34,89,53,21.2,CN,2.66,1607400213
532,Palmer,42.16,-72.33,63,90,28.99,US,12.75,1607400213
533,Trelew,-43.25,-65.31,29,28,82.71,AR,20.71,1607400213
534,Arlit,18.74,7.39,25,81,71.83,NE,4.47,1607400213
535,Boyuibe,-20.42,-63.28,56,100,71.28,BO,1.39,1607400213
536,Tari,12.41,4.49,21,0,74.41,NG,9.17,1607400213
537,Nome,64.5,-165.41,43,40,12.2,US,3.36,1607400213
538,San Lorenzo,-25.33,-57.53,77,0,69.8,PY,4.68,1607400213
539,Troitskoye,52.98,84.68,93,100,12.52,RU,15.19,1607400213
540,Zaritap,39.64,45.51,80,75,30.2,AM,4.7,1607400213
541,Jinchang,38.5,102.17,87,35,23.23,CN,7.81,1607400213
542,Kanigoro,-8.13,112.22,64,89,86.0,ID,14.56,1607400214
543,Rabaul,-4.2,152.17,68,80,85.37,PG,4.34,1607400214
544,Covington,39.08,-84.51,91,90,32.0,US,6.93,1607400211
545,Tarko-Sale,64.92,77.78,88,0,-10.23,RU,12.35,1607400214
546,Ojinaga,29.57,-104.42,37,1,51.8,MX,10.29,1607400214
547,São Félix do Xingu,-6.64,-51.99,95,100,71.94,BR,1.21,1607400214
548,Québec,46.81,-71.21,73,38,26.6,CA,4.7,1607399926
549,Bada,51.39,109.87,83,72,8.65,RU,4.41,1607400214
550,Lüderitz,-26.65,15.16,86,79,62.01,NA,4.21,1607400214
551,Dafeng,23.45,108.59,47,0,61.34,CN,7.2,1607400214
552,Rostovka,55.38,71.89,97,100,18.82,RU,11.97,1607400214
553,Yamethin,20.43,96.15,62,13,75.63,MM,5.61,1607400212
554,Chapais,49.78,-74.85,84,75,6.8,CA,11.41,1607400214
555,Sozopol,42.42,27.7,93,90,46.4,BG,14.99,1607400214
556,Ust'-Kulom,61.69,53.69,96,99,21.4,RU,8.08,1607400214
557,Salinópolis,-0.61,-47.36,83,100,79.72,BR,7.99,1607400215
558,Ziarat,30.38,67.73,90,80,40.66,PK,2.57,1607400156
559,Hvolsvollur,63.75,-20.22,95,100,32.0,IS,5.01,1607400215
560,Kamaishi,39.27,141.88,56,75,42.8,JP,13.87,1607400215
561,Kumul,42.8,93.45,76,99,26.2,CN,2.17,1607400215
562,Chardara,41.25,67.97,88,87,22.24,KZ,7.38,1607400215
563,North Platte,41.12,-100.77,53,1,26.6,US,3.36,1607400215
564,Waliso,8.53,37.98,78,38,54.99,ET,11.63,1607400275
565,Florø,61.6,5.03,57,100,50.0,NO,10.29,1607400275
566,Bāfq,31.61,55.41,70,56,44.49,IR,2.19,1607400275
567,Itarema,-2.92,-39.92,78,50,79.7,BR,16.53,1607400275
568,Saldanha,-33.01,17.94,87,56,60.8,ZA,9.17,1607399986
569,Bitkine,11.98,18.21,23,1,69.93,TD,5.32,1607400275
570,Bayir,37.27,28.22,100,90,50.0,TR,2.24,1607400275
571,Bonthe,7.53,-12.51,82,12,78.28,SL,1.45,1607400276
572,Ouro Preto do Oeste,-10.75,-62.22,91,38,70.61,BR,1.03,1607400276
573,Payakumbuh,-0.22,100.63,48,98,89.15,ID,1.23,1607400276
574,Tual,-5.67,132.75,66,12,84.9,ID,2.13,1607400276
575,Cambridge,43.36,-80.31,79,1,26.01,CA,6.93,1607400116
576,Fort Nelson,58.81,-122.7,92,40,15.8,CA,3.36,1607400002
577,Nanyang,32.99,112.53,40,20,46.0,CN,5.08,1607400276
578,Pangody,65.85,74.49,90,34,-3.19,RU,8.16,1607400276
579,Guane,22.2,-84.09,82,63,68.52,CU,9.28,1607400276
580,Khāsh,28.22,61.22,60,36,49.68,IR,4.14,1607400276
581,Praia,14.92,-23.51,73,75,73.4,CV,13.87,1607400004
582,Gulu,2.77,32.3,80,64,65.98,UG,3.09,1607400276
583,Kadi,23.3,72.33,56,28,69.8,IN,5.82,1607400276
584,Bonavista,48.65,-53.11,93,91,39.99,CA,4.7,1607400277
585,Tuy Hoa,13.08,109.3,83,95,76.01,VN,19.98,1607400277
586,Bilibino,68.05,166.44,90,97,-0.06,RU,1.45,1607400168
587,Viedma,-40.81,-63.0,29,63,79.0,AR,8.01,1607400029
588,Ryōtsu-minato,38.08,138.43,61,75,48.2,JP,18.34,1607400210
589,Tawao,4.25,117.89,74,20,86.0,MY,3.36,1607400277
590,Itarana,-19.87,-40.88,87,73,70.81,BR,3.06,1607400095
591,Touho,-20.78,165.23,70,11,81.73,NC,6.2,1607400277
592,Deputatsky,69.3,139.9,84,5,-29.38,RU,4.29,1607400132
593,Gubkin,51.28,37.55,87,0,17.71,RU,11.18,1607400277
